x1,ce_x1,delta_x1,changed_x1,x2,ce_x2,delta_x2,changed_x2,pred_orig,dist_l2,num_features_changed
0.41542614024835317,0.4152813901045851,-0.00014475014376807982,0,0.4216584142013715,0.4215063843513791,-0.00015202984999240776,0,0,0.00020991826840366655,0
0.02546229328984917,0.02546229328984917,0.0,0,0.48002317872886824,0.5532109979957669,0.07318781926689866,1,1,0.07318781926689866,1
0.7743528586955786,0.6638130304421588,-0.11053982825341979,1,0.3591718352870129,0.18499860467370285,-0.17417323061331005,1,0,0.2062895244373132,2
0.4291653032282332,0.49123472669305035,0.06206942346481714,1,0.17880628226975095,0.3745896529219659,0.19578337065221493,1,1,0.20538680958911984,2
0.4353489339022304,0.358777590136251,-0.0765713437659794,1,0.6730061081501428,0.44920729768975104,-0.2237988104603918,1,0,0.23653557501909553,2
-0.03540848533624552,-0.14682662954825068,-0.11141814421200516,1,0.26691356006700623,0.534199469288041,0.26728590922103473,1,1,0.2895785905894329,2
1.235827849179852,1.3989839906219226,0.16315614144207058,1,0.34524604266073383,0.09464916386666622,-0.2505968787940676,1,0,0.29902963423646417,2
0.5948777733253744,0.24911286745012856,-0.34576490587524583,1,0.8657658777139046,0.4682071228990686,-0.397558754814836,1,0,0.5268836054242345,2
0.42741258961184136,0.6881132041800084,0.26070061456816707,1,-0.10159355581606072,0.20737944749042247,0.3089730033064832,1,1,0.40426368524571693,2
-0.783459227123713,-0.3621688143439756,0.4212904127797374,1,0.6099211285018998,0.3621158160755903,-0.24780531242630954,1,0,0.4887669022824913,2
